@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data
-20,-18,-15,False,True,True,True,True,7,15,18,27,1,7,South,True,False,True,False,South
-21,-19,-16,False,True,True,True,True,6,13,16,34,1,6,South,True,False,False,False,East
-22,-20,-17,False,True,True,True,True,8,12,12,27,2,6,East,False,False,False,True,East
177,-21,-18,False,True,True,True,True,2,7,12,28,3,6,East,False,False,False,False,East
176,-22,-19,False,True,True,True,True,4,7,12,24,4,6,East,False,False,False,False,North
175,177,-20,False,True,True,True,True,5,10,12,27,4,7,North,False,False,False,False,North
174,176,-21,False,True,True,True,True,3,14,15,24,4,8,North,False,False,False,False,North
173,175,-22,False,True,True,True,True,1,12,17,26,4,9,North,False,False,False,False,North
172,174,177,False,False,True,True,True,0,13,16,30,4,10,North,False,False,False,True,South
171,173,176,False,False,True,True,True,0,11,15,27,4,9,South,False,False,False,False,South
170,172,175,False,False,True,True,True,0,7,11,28,4,8,South,False,False,False,False,South
169,171,174,False,False,True,True,True,0,6,13,23,4,7,South,False,False,False,False,South
168,170,173,False,False,True,True,True,0,5,13,24,4,6,South,False,False,False,False,South
367,169,172,False,False,True,True,True,0,3,10,17,4,5,South,False,False,False,False,South
366,168,171,False,False,True,True,True,0,1,10,24,4,4,South,False,False,False,False,South
365,367,170,False,False,True,True,True,0,3,11,25,4,3,South,False,True,False,False,East
364,366,169,False,False,True,True,True,0,0,12,23,5,3,East,False,True,False,False,East
363,365,168,False,False,True,True,True,0,1,11,19,6,3,East,False,True,False,True,East
362,364,367,False,False,False,True,True,0,0,9,21,7,3,East,False,True,False,True,East
361,363,366,False,False,False,True,True,0,0,5,18,8,3,East,False,True,False,False,North
360,362,365,False,False,False,True,True,0,0,6,17,8,4,North,True,False,False,False,North
359,361,364,False,False,False,True,True,0,0,8,21,8,5,North,True,False,False,False,North
358,360,363,False,False,False,True,True,0,0,4,24,8,6,North,False,False,False,False,East
357,359,362,False,False,False,True,True,0,0,7,22,9,6,East,False,False,False,False,East
356,358,361,False,False,False,True,True,0,0,7,20,10,6,East,False,False,False,False,North
355,357,360,False,False,False,True,True,0,0,10,22,10,7,North,False,False,False,False,North
354,356,359,False,False,False,True,True,0,0,10,24,10,8,North,False,False,False,False,North
353,355,358,False,False,False,True,True,0,0,10,23,10,9,North,False,False,False,False,North
352,354,357,False,False,False,True,True,0,0,11,26,10,10,North,False,False,False,False,North
351,353,356,False,False,False,True,True,0,0,9,26,10,11,North,False,False,False,False,East
350,352,355,False,False,False,True,True,0,0,10,22,11,11,East,False,False,True,False,North
349,351,354,False,False,False,True,True,0,0,11,26,11,12,North,False,False,False,True,East
348,350,353,False,False,False,True,True,0,0,10,24,12,12,East,False,True,False,True,East
347,349,352,False,False,False,True,True,0,0,8,25,13,12,East,False,False,False,True,South
346,348,351,False,False,False,True,True,0,0,7,23,13,11,South,True,False,False,False,South
345,347,350,False,False,False,True,True,0,0,10,23,13,10,South,True,False,False,False,South
344,346,349,False,False,False,True,True,0,0,4,23,13,9,South,True,False,False,False,South
343,345,348,False,False,False,True,True,0,0,9,19,13,8,South,True,False,False,False,South
542,344,347,False,False,False,True,True,0,0,3,23,13,7,South,True,False,False,False,South
541,343,346,False,False,False,True,True,0,0,3,19,13,6,South,True,False,False,False,South
540,542,345,False,False,False,True,True,0,0,1,17,13,5,South,True,False,False,False,South
539,541,344,False,False,False,True,True,0,0,3,12,13,4,South,True,False,False,False,East
538,540,343,False,False,False,True,True,0,0,2,14,14,4,East,False,False,False,False,North
537,539,542,False,False,False,False,True,0,0,0,15,14,5,North,False,False,True,False,North
536,538,541,False,False,False,False,True,0,0,0,16,14,6,North,False,False,False,False,East
535,537,540,False,False,False,False,True,0,0,0,17,15,6,East,False,True,False,True,East
534,536,539,False,False,False,False,True,0,0,0,15,16,6,East,False,True,False,True,East
533,535,538,False,False,False,False,True,0,0,0,13,17,6,East,False,False,False,True,East
532,534,537,False,False,False,False,True,0,0,0,13,18,6,East,False,False,False,True,South
531,533,536,False,False,False,False,True,0,0,0,15,18,5,South,False,False,False,False,South
530,532,535,False,False,False,False,True,0,0,0,11,18,4,South,False,False,False,False,East
529,531,534,False,False,False,False,True,0,0,0,7,19,4,East,False,False,False,False,East
528,530,533,False,False,False,False,True,0,0,0,9,20,4,East,False,False,False,False,East
527,529,532,False,False,False,False,True,0,0,0,8,21,4,East,False,False,False,True,East
-5,-3,0,False,True,True,True,True,14,26,27,35,1,18,Stop,True,False,False,True,Stop
-6,-4,-1,False,True,True,True,True,13,26,28,37,1,18,Stop,True,False,False,True,Stop
-7,-5,-2,False,True,True,True,True,12,22,32,35,1,18,Stop,True,False,False,True,Stop
-8,-6,-3,False,True,True,True,True,11,24,30,32,1,18,Stop,True,False,False,True,Stop
-9,-7,-4,False,True,True,True,True,12,25,30,36,1,18,Stop,True,False,False,True,South
-10,-8,-5,False,True,True,True,True,11,18,27,38,1,17,South,True,False,True,False,South
-11,-9,-6,False,True,True,True,True,15,22,25,38,1,16,South,True,False,False,False,South
-12,-10,-7,False,True,True,True,True,6,22,23,36,1,15,South,True,False,False,False,South
-13,-11,-8,False,True,True,True,True,9,18,21,36,1,14,South,True,False,False,False,South
-14,-12,-9,False,True,True,True,True,9,16,21,35,1,13,South,True,False,True,False,South
-15,-13,-10,False,True,True,True,True,7,18,22,36,1,12,South,True,False,False,False,South
-16,-14,-11,False,True,True,True,True,6,16,22,35,1,11,South,True,False,True,False,South
-17,-15,-12,False,True,True,True,True,5,13,23,33,1,10,South,True,False,True,False,South
-18,-16,-13,False,True,True,True,True,5,14,19,29,1,9,South,True,False,True,False,South
-19,-17,-14,False,True,True,True,True,4,12,21,29,1,8,South,True,False,True,False,South
