@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data
336,338,341,False,False,False,True,True,0,0,13,5,16,14,East,False,True,False,False,East
335,337,340,False,False,False,True,True,0,0,14,7,17,14,East,False,False,False,False,East
334,336,339,False,False,False,True,True,0,0,12,4,18,14,East,False,False,False,True,East
533,335,338,False,False,False,True,True,0,0,6,3,19,14,East,False,False,False,True,East
532,334,337,False,False,False,True,True,0,0,10,3,20,14,East,False,False,True,False,North
531,533,336,False,False,False,True,True,0,0,11,2,20,15,North,True,False,False,False,North
530,532,335,False,False,False,True,True,0,0,10,3,20,16,North,True,False,False,False,East
529,531,334,False,False,False,True,True,0,0,10,1,21,16,East,False,False,False,False,East
528,530,533,False,False,False,True,False,0,0,13,0,22,16,East,False,False,False,True,South
527,529,532,False,False,False,True,False,0,0,11,0,22,15,South,False,False,False,False,South
526,528,531,False,False,False,True,False,0,0,11,0,22,14,South,True,False,False,False,South
525,527,530,False,False,False,True,False,0,0,6,0,22,13,South,True,True,False,False,North
524,526,529,False,False,False,True,False,0,0,10,0,22,14,North,True,False,False,False,North
523,525,528,False,False,False,True,False,0,0,11,0,22,15,North,False,False,False,False,North
522,524,527,False,False,False,True,False,0,0,13,0,22,16,North,False,False,False,True,West
521,523,526,False,False,False,True,False,0,0,10,0,21,16,West,False,False,False,False,West
520,522,525,False,False,False,True,False,0,0,9,0,20,16,West,True,False,False,False,South
519,521,524,False,False,False,True,False,0,0,10,0,20,15,South,True,False,False,False,South
518,520,523,False,False,False,True,False,0,0,11,0,20,14,South,False,False,True,False,South
517,519,522,False,False,False,True,False,0,0,10,0,20,13,South,False,False,True,False,South
516,518,521,False,False,False,True,False,0,0,7,0,20,12,South,False,False,True,False,South
515,517,520,False,False,False,True,False,0,0,4,0,20,11,South,False,False,True,False,South
-5,-3,0,False,True,True,True,True,18,24,25,30,1,18,Stop,True,False,False,True,Stop
-6,-4,-1,False,True,True,True,True,11,24,27,30,1,18,Stop,True,False,False,True,Stop
-7,-5,-2,False,True,True,True,True,9,30,28,29,1,18,Stop,True,False,False,True,Stop
-8,-6,-3,False,True,True,True,True,10,22,30,29,1,18,Stop,True,False,False,True,South
-9,-7,-4,False,True,True,True,True,12,21,28,27,1,17,South,True,False,True,False,South
-10,-8,-5,False,True,True,True,True,10,20,29,26,1,16,South,True,False,False,False,South
-11,-9,-6,False,True,True,True,True,11,20,28,26,1,15,South,True,False,False,False,South
-12,-10,-7,False,True,True,True,True,10,20,26,25,1,14,South,True,False,False,False,South
-13,-11,-8,False,True,True,True,True,10,19,25,21,1,13,South,True,False,True,False,South
-14,-12,-9,False,True,True,True,True,8,14,25,29,1,12,South,True,False,False,False,South
-15,-13,-10,False,True,True,True,True,8,16,21,28,1,11,South,True,False,True,False,South
-16,-14,-11,False,True,True,True,True,6,16,22,29,1,10,South,True,False,True,False,South
-17,-15,-12,False,True,True,True,True,9,11,20,27,1,9,South,True,False,True,False,South
-18,-16,-13,False,True,True,True,True,7,9,17,30,1,8,South,True,False,True,False,South
181,-17,-14,False,True,True,True,True,5,11,16,30,1,7,South,True,False,True,False,South
180,-18,-15,False,True,True,True,True,4,11,16,29,1,6,South,True,False,False,False,East
179,181,-16,False,True,True,True,True,4,9,12,28,2,6,East,False,False,False,True,East
178,180,-17,False,True,True,True,True,2,8,14,22,3,6,East,False,False,False,False,East
177,179,-18,False,True,True,True,True,1,7,15,27,4,6,East,False,False,False,False,East
176,178,181,False,False,True,True,True,0,8,12,26,5,6,East,False,False,False,False,East
175,177,180,False,False,True,True,True,0,6,12,26,6,6,East,False,True,False,False,East
174,176,179,False,False,True,True,True,0,6,11,24,7,6,East,False,True,False,True,East
173,175,178,False,False,True,True,True,0,0,8,23,8,6,East,False,False,False,False,North
172,174,177,False,False,True,True,True,0,3,11,22,8,7,North,True,False,False,False,North
371,173,176,False,False,True,True,True,0,3,10,20,8,8,North,True,False,False,False,North
370,172,175,False,False,True,True,True,0,4,16,18,8,9,North,True,False,False,False,East
369,371,174,False,False,True,True,True,0,2,13,20,9,9,East,False,False,False,False,East
368,370,173,False,False,True,True,True,0,1,9,14,10,9,East,False,False,False,False,North
367,369,172,False,False,True,True,True,0,0,10,18,10,10,North,False,False,False,False,West
366,368,371,False,False,False,True,True,0,0,11,26,9,10,West,False,False,False,False,South
365,367,370,False,False,False,True,True,0,0,9,22,9,9,South,False,False,False,False,North
364,366,369,False,False,False,True,True,0,0,12,18,9,10,North,False,False,False,False,North
363,365,368,False,False,False,True,True,0,0,11,19,9,11,North,False,False,False,False,East
362,364,367,False,False,False,True,True,0,0,8,17,10,11,East,False,False,False,False,North
361,363,366,False,False,False,True,True,0,0,14,21,10,12,North,False,False,False,False,North
360,362,365,False,False,False,True,True,0,0,14,18,10,13,North,False,False,True,False,North
359,361,364,False,False,False,True,True,0,0,9,14,10,14,North,False,False,True,False,North
358,360,363,False,False,False,True,True,0,0,15,16,10,15,North,False,False,False,False,East
357,359,362,False,False,False,True,True,0,0,15,14,11,15,East,False,True,False,False,East
356,358,361,False,False,False,True,True,0,0,15,14,12,15,East,False,False,False,False,East
355,357,360,False,False,False,True,True,0,0,15,12,13,15,East,False,False,False,False,East
354,356,359,False,False,False,True,True,0,0,8,11,14,15,East,False,False,False,False,South
353,355,358,False,False,False,True,True,0,0,13,12,14,14,South,False,False,False,False,East
352,354,357,False,False,False,True,True,0,0,10,17,15,14,East,False,True,False,False,East
351,353,356,False,False,False,True,True,0,0,13,14,16,14,East,False,True,False,False,East
350,352,355,False,False,False,True,True,0,0,13,10,17,14,East,False,False,False,False,East
349,351,354,False,False,False,True,True,0,0,9,13,18,14,East,False,False,False,True,East
348,350,353,False,False,False,True,True,0,0,14,9,19,14,East,False,False,False,True,East
347,349,352,False,False,False,True,True,0,0,18,9,20,14,East,False,False,True,False,North
346,348,351,False,False,False,True,True,0,0,14,8,20,15,North,True,False,False,False,North
345,347,350,False,False,False,True,True,0,0,20,2,20,16,North,True,False,False,False,East
344,346,349,False,False,False,True,True,0,0,18,4,21,16,East,False,False,False,False,North
343,345,348,False,False,False,True,True,0,0,14,3,21,17,North,False,False,True,False,North
