Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Area_under_ROC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_area_under_ROC,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Summary,measureTreeSize,measureNumLeaves,measureNumRules
all-data,2,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,80.0,34.0,0.0,70.17543859649123,29.82456140350877,0.0,0.5676037483266398,0.13255571406809205,0.31507780883700237,47.810772567157485,84.648720625458,213.7258584437009,17244.690224752456,-17030.964366308755,1.8747882319622886,151.26921249782856,-149.39442426586626,124.10535397036179,1.0886434558803666,6604.907047780885,0.5,10.0,0.05319148936170213,5.0,0.9468085106382979,89.0,0.5,10.0,0.6666666666666666,0.5,0.5714285714285715,0.7473404255319149,0.7017543859649122,0.130488702520385,0.869511297479615,0.2982456140350877,0.701731647369868,0.7017543859649122,0.6983269170930031,0.8305772124678081,0.023,0.0,0.022901,1.11E-4,59630.0,190062.0,24628.0,'Number of leaves: 115\nSize of the tree: 226\n',226.0,115.0,115.0
all-data,2,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,79.0,35.0,0.0,69.29824561403508,30.70175438596491,0.0,0.5527908540685945,0.14185599288030176,0.31851927586038625,51.16523765549988,85.57330424395983,213.7258584437009,14036.553730565274,-13822.827872121574,1.8747882319622886,123.12766430320416,-121.25287607124187,121.40658438832793,1.0649700384941045,6461.278093328453,0.55,11.0,0.07446808510638298,7.0,0.925531914893617,87.0,0.45,9.0,0.6111111111111112,0.55,0.5789473684210527,0.7555851063829787,0.6929824561403509,0.14742957688614688,0.8525704231138532,0.30701754385964913,0.7028314249676479,0.6929824561403509,0.6933883836752213,0.8239390362810993,0.022,0.0,0.021907,1.01E-4,61554.0,190062.0,24628.0,'Number of leaves: 119\nSize of the tree: 234\n',234.0,119.0,119.0
all-data,2,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,65.0,49.0,0.0,57.01754385964912,42.98245614035088,0.0,0.38248949812071636,0.18125856014495845,0.38601833394545143,65.21573387367896,103.4199983584101,216.31480111662088,28007.542283162325,-27791.227482045706,1.8974982554089552,245.6801954663362,-243.78269721092724,91.15151669508714,0.7995747078516415,4857.58016659955,0.5238095238095238,11.0,0.16129032258064516,15.0,0.8387096774193549,78.0,0.47619047619047616,10.0,0.4230769230769231,0.5238095238095238,0.4680851063829788,0.7365591397849462,0.5701754385964912,0.19117713687238097,0.8088228631276191,0.4298245614035088,0.5803643724696357,0.5701754385964912,0.5724104143337068,0.7064383624436499,0.023,0.0,0.023163,1.07E-4,59872.0,190062.0,24628.0,'Number of leaves: 117\nSize of the tree: 227\n',227.0,117.0,117.0
all-data,3,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1027.0,115.0,82.0,33.0,0.0,71.30434782608695,28.695652173913043,0.0,0.5936395759717314,0.12528058704397288,0.307407165596687,45.10301794127952,82.41581474726264,217.78637262360573,17237.001476921887,-17019.21510429828,1.8937945445530933,149.88696936453815,-147.99317481998506,136.77685565310088,1.1893639622008771,7287.4859324090285,0.6666666666666666,14.0,0.10638297872340426,10.0,0.8936170212765957,84.0,0.3333333333333333,7.0,0.5833333333333334,0.6666666666666666,0.6222222222222222,0.8183890577507599,0.7130434782608696,0.11607609096267492,0.8839239090373251,0.28695652173913044,0.7233424987111188,0.7130434782608696,0.7120974967061924,0.8428504442840643,0.024,0.0,0.023631,1.07E-4,61073.0,189881.0,24809.0,'Number of leaves: 118\nSize of the tree: 232\n',232.0,118.0,118.0
all-data,3,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1027.0,115.0,74.0,41.0,0.0,64.34782608695652,35.65217391304348,0.0,0.48026895943562603,0.14938014861053406,0.3395126976506672,53.779246105281175,91.02330305023423,217.78637262360573,20477.296165090105,-20259.5097924665,1.8937945445530933,178.063444913827,-176.1696503692739,106.8167405775005,0.9288412224130478,5691.207701678671,0.5238095238095238,11.0,0.09574468085106383,9.0,0.9042553191489362,85.0,0.47619047619047616,10.0,0.55,0.5238095238095238,0.5365853658536585,0.7641843971631206,0.6434782608695652,0.15916024693190686,0.8408397530680931,0.3565217391304348,0.6371739130434783,0.6434782608695652,0.6371502940325847,0.8067075236461934,0.023,0.0,0.022865,1.1E-4,62997.0,189881.0,24809.0,'Number of leaves: 122\nSize of the tree: 240\n',240.0,122.0,122.0
all-data,3,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,86.0,28.0,0.0,75.43859649122807,24.56140350877193,0.0,0.6423529411764706,0.12464974611632766,0.29081158536033114,45.019884320947874,78.24798395846878,212.19252471160993,10807.139426402446,-10594.946901690835,1.861337936066754,94.79946865265303,-92.93813071658627,131.62383851740825,1.1545950747141074,6999.542576638936,0.6190476190476191,13.0,0.0967741935483871,9.0,0.9032258064516129,84.0,0.38095238095238093,8.0,0.5909090909090909,0.6190476190476191,0.6046511627906977,0.8394777265745008,0.7543859649122807,0.11504904734955669,0.8849509526504432,0.24561403508771928,0.7618741976893454,0.7543859649122807,0.7564189847926999,0.8580670835338774,0.023,0.0,0.023148,1.04E-4,59391.0,190062.0,24628.0,'Number of leaves: 116\nSize of the tree: 225\n',225.0,116.0,116.0
all-data,3,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,78.0,36.0,0.0,68.42105263157895,31.57894736842105,0.0,0.5410422724222769,0.14432749599556033,0.32168129899731196,52.13395391405588,86.56714349056887,212.14551731112823,15108.541245663371,-14896.395728352243,1.8609255904484931,132.53106355845063,-130.67013796800214,112.83741819769959,0.9898019140149087,6000.369868264268,0.38095238095238093,8.0,0.08602150537634409,8.0,0.9139784946236559,85.0,0.6190476190476191,13.0,0.5,0.38095238095238093,0.4324324324324324,0.685099846390169,0.6842105263157895,0.13469928908362114,0.8653007109163788,0.3157894736842105,0.6801030353661932,0.6842105263157895,0.679480107402384,0.8220429050333401,0.021,0.0,0.020661000000000002,1.03E-4,55782.0,190062.0,24628.0,'Number of leaves: 107\nSize of the tree: 210\n',210.0,107.0,107.0
all-data,3,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,78.0,36.0,0.0,68.42105263157895,31.57894736842105,0.0,0.5471198410946811,0.14585381163788108,0.3196708138099749,52.68528939456266,86.0261050147844,212.14551731112823,14042.349071070921,-13830.203553759793,1.8609255904484931,123.17850062342913,-121.31757503298064,120.47129184864647,1.0567657179705832,6406.317347078632,0.6190476190476191,13.0,0.15053763440860216,14.0,0.8494623655913979,79.0,0.38095238095238093,8.0,0.48148148148148145,0.6190476190476191,0.5416666666666666,0.7603686635944701,0.6842105263157895,0.13446632633049785,0.8655336736695022,0.3157894736842105,0.6973484023852241,0.6842105263157895,0.688425715782478,0.8249556602242588,0.019,0.001,0.019497,8.7E-5,50491.0,190062.0,24628.0,'Number of leaves: 96\nSize of the tree: 188\n',188.0,96.0,96.0
all-data,3,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,78.0,36.0,0.0,68.42105263157895,31.57894736842105,0.0,0.5425769059295587,0.13857585664769526,0.3242444318919454,50.05634771280167,87.25690411316877,212.14551731112823,18324.28522948637,-18112.13971217524,1.8609255904484931,160.7393441183015,-158.878418527853,122.01954896239353,1.0703469207227503,6488.649214308851,0.5714285714285714,12.0,0.0967741935483871,9.0,0.9032258064516129,84.0,0.42857142857142855,9.0,0.5714285714285714,0.5714285714285714,0.5714285714285714,0.7854582693292371,0.6842105263157895,0.1456149542212858,0.8543850457787142,0.3157894736842105,0.6842105263157895,0.6842105263157895,0.6842105263157895,0.7991501357215633,0.022,0.0,0.022333,1.07E-4,62277.0,190062.0,24628.0,'Number of leaves: 122\nSize of the tree: 237\n',237.0,122.0,122.0
all-data,3,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01603161658E7,1028.0,114.0,78.0,36.0,0.0,68.42105263157895,31.57894736842105,0.0,0.5459674742781281,0.14221607986290263,0.32581114549674695,51.371268532493126,87.67851992315906,212.14551731112823,20462.739435402815,-20250.593918091687,1.8609255904484931,179.4977143456387,-177.63678875519022,119.42950243027946,1.047627214300697,6350.9179774821605,0.42857142857142855,9.0,0.06451612903225806,6.0,0.9354838709677419,87.0,0.5714285714285714,12.0,0.6,0.42857142857142855,0.5,0.7613927291346646,0.6842105263157895,0.13072787080878018,0.8692721291912199,0.3157894736842105,0.701134567581936,0.6842105263157895,0.6844678800622028,0.800112350718908,0.025,0.0,0.024609000000000002,1.06E-4,59391.0,190062.0,24628.0,'Number of leaves: 116\nSize of the tree: 225\n',225.0,116.0,116.0
