@relation manual-filter-data

@attribute score5 numeric
@attribute score2 numeric
@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute distancia-media numeric
@attribute move {North,South,East,West,Stop}

@data
-9,-7,-4,True,True,True,True,12,21,28,27,1,17,South,22,South
-10,-8,-5,True,True,True,True,10,20,29,26,1,16,South,21.25,South
-11,-9,-6,True,True,True,True,11,20,28,26,1,15,South,21.25,South
-12,-10,-7,True,True,True,True,10,20,26,25,1,14,South,20.25,South
-13,-11,-8,True,True,True,True,10,19,25,21,1,13,South,18.75,South
-14,-12,-9,True,True,True,True,8,14,25,29,1,12,South,19,South
-15,-13,-10,True,True,True,True,8,16,21,28,1,11,South,18.25,South
-16,-14,-11,True,True,True,True,6,16,22,29,1,10,South,18.25,South
-17,-15,-12,True,True,True,True,9,11,20,27,1,9,South,16.75,South
-18,-16,-13,True,True,True,True,7,9,17,30,1,8,South,15.75,South
181,-17,-14,True,True,True,True,5,11,16,30,1,7,South,15.5,South
180,-18,-15,True,True,True,True,4,11,16,29,1,6,South,15,East
179,181,-16,True,True,True,True,4,9,12,28,2,6,East,13.25,East
178,180,-17,True,True,True,True,2,8,14,22,3,6,East,11.5,East
177,179,-18,True,True,True,True,1,7,15,27,4,6,East,12.5,East
176,178,181,False,True,True,True,0,8,12,26,5,6,East,11.5,East
175,177,180,False,True,True,True,0,6,12,26,6,6,East,11,East
174,176,179,False,True,True,True,0,6,11,24,7,6,East,10.25,East
173,175,178,False,True,True,True,0,0,8,23,8,6,East,7.75,North
172,174,177,False,True,True,True,0,3,11,22,8,7,North,9,North
371,173,176,False,True,True,True,0,3,10,20,8,8,North,8.25,North
370,172,175,False,True,True,True,0,4,16,18,8,9,North,9.5,East
369,371,174,False,True,True,True,0,2,13,20,9,9,East,8.75,East
