@relation prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute scoreN numeric
@attribute ghost1-livingN {True,False}
@attribute ghost2-livingN {True,False}
@attribute ghost3-livingN {True,False}
@attribute ghost4-livingN {True,False}
@attribute distance-ghost1N numeric
@attribute distance-ghost2N numeric
@attribute distance-ghost3N numeric
@attribute distance-ghost4N numeric
@attribute prev-distance-ghost1N numeric
@attribute prev-distance-ghost2N numeric
@attribute prev-distance-ghost3N numeric
@attribute prev-distance-ghost4N numeric
@attribute posXN numeric
@attribute posYN numeric
@attribute directionN {North,South,East,West,Stop}
@attribute wall-eastN {True,False}
@attribute wall-southN {True,False}
@attribute wall-westN {True,False}
@attribute wall-northN {True,False}
@attribute moveN {North,South,East,West,Stop}
@attribute fx numeric

@data
354,False,True,True,False,0,3,3,0,0,2,1,0,15,4,South,True,False,True,False,North,551,False,False,True,False,0,0,4,0,0,0,4,0,15,5,South,True,False,False,False,South,5.833333
353,False,True,True,False,0,2,3,0,0,3,3,0,15,5,North,True,False,False,False,North,550,False,False,True,False,0,0,1,0,0,0,4,0,15,4,South,True,False,True,False,South,5.833333
552,False,False,True,False,0,0,4,0,0,2,3,0,15,6,North,True,False,False,False,South,549,False,False,True,False,0,0,2,0,0,0,1,0,15,3,South,True,True,False,False,East,17.5
-5,True,True,True,True,12,5,1,3,11,11,4,0,14,10,East,False,False,False,False,North,192,True,True,True,False,16,9,10,0,15,11,8,0,14,11,South,False,False,False,False,South,2.281449
-6,True,True,True,True,16,12,7,0,12,5,1,3,14,11,North,False,False,False,False,North,191,True,True,True,False,16,15,5,0,16,9,10,0,14,10,South,False,False,False,False,South,3.041484
193,True,True,True,False,15,11,8,0,16,12,7,0,14,12,North,False,False,False,False,South,190,True,True,True,False,15,10,5,0,16,15,5,0,14,9,South,False,False,False,False,South,3.110089
192,True,True,True,False,16,9,10,0,15,11,8,0,14,11,South,False,False,False,False,South,189,True,True,True,False,12,11,4,0,15,10,5,0,14,8,South,False,False,False,False,South,3.17595
191,True,True,True,False,16,15,5,0,16,9,10,0,14,10,South,False,False,False,False,South,188,True,True,True,False,10,6,1,0,12,11,4,0,14,7,South,False,False,False,False,South,3.259772
190,True,True,True,False,15,10,5,0,16,15,5,0,14,9,South,False,False,False,False,South,187,True,True,True,False,9,8,3,0,10,6,1,0,14,6,South,False,False,False,False,West,3.259772
189,True,True,True,False,12,11,4,0,15,10,5,0,14,8,South,False,False,False,False,South,186,True,True,True,False,6,6,1,0,9,8,3,0,13,6,West,False,False,False,False,West,3.329625
188,True,True,True,False,10,6,1,0,12,11,4,0,14,7,South,False,False,False,False,South,185,True,True,True,False,6,6,3,0,6,6,1,0,12,6,West,False,False,False,False,North,4.105533
187,True,True,True,False,9,8,3,0,10,6,1,0,14,6,South,False,False,False,False,West,184,True,True,True,False,7,6,4,0,6,6,3,0,12,7,North,False,False,False,False,West,5.293249
186,True,True,True,False,6,6,1,0,9,8,3,0,13,6,West,False,False,False,False,West,183,True,True,True,False,6,5,4,0,7,6,4,0,11,7,West,False,False,False,False,West,5.549374
185,True,True,True,False,6,6,3,0,6,6,1,0,12,6,West,False,False,False,False,North,182,True,True,True,False,7,0,0,0,6,5,4,0,10,7,West,False,False,False,False,West,7.80017
182,True,True,True,False,7,0,0,0,6,5,4,0,10,7,West,False,False,False,False,West,379,True,True,False,False,8,4,0,0,4,3,0,0,8,8,West,False,False,False,False,South,4.339895
380,True,True,False,False,4,3,0,0,5,1,0,0,9,8,North,False,False,False,False,West,377,True,True,False,False,7,3,0,0,9,5,0,0,8,6,South,False,False,False,False,South,7.334488
379,True,True,False,False,8,4,0,0,4,3,0,0,8,8,West,False,False,False,False,South,376,True,True,False,False,9,2,0,0,7,3,0,0,8,5,South,False,False,False,False,West,13.830748
377,True,True,False,False,7,3,0,0,9,5,0,0,8,6,South,False,False,False,False,South,574,True,False,False,False,7,0,0,0,9,0,0,0,6,5,West,False,False,False,False,West,2.56125
376,True,True,False,False,9,2,0,0,7,3,0,0,8,5,South,False,False,False,False,West,573,True,False,False,False,5,0,0,0,7,0,0,0,5,5,West,False,False,False,False,North,2.988125
575,True,False,False,False,9,0,0,0,9,2,0,0,7,5,West,False,False,False,False,West,572,True,False,False,False,2,0,0,0,5,0,0,0,5,6,North,False,False,False,False,North,4.482187
574,True,False,False,False,7,0,0,0,9,0,0,0,6,5,West,False,False,False,False,West,571,True,False,False,False,5,0,0,0,2,0,0,0,5,7,North,False,False,False,False,West,4.482187
573,True,False,False,False,5,0,0,0,7,0,0,0,5,5,West,False,False,False,False,North,570,True,False,False,False,3,0,0,0,5,0,0,0,4,7,West,False,False,False,False,North,4.482187
572,True,False,False,False,2,0,0,0,5,0,0,0,5,6,North,False,False,False,False,North,569,True,False,False,False,5,0,0,0,3,0,0,0,4,8,North,False,False,False,False,West,4.482187
571,True,False,False,False,5,0,0,0,2,0,0,0,5,7,North,False,False,False,False,West,568,True,False,False,False,3,0,0,0,5,0,0,0,3,8,West,False,False,False,False,North,4.482187
570,True,False,False,False,3,0,0,0,5,0,0,0,4,7,West,False,False,False,False,North,567,True,False,False,False,0,0,0,0,3,0,0,0,3,9,North,False,False,False,False,North,8.964374
567,True,False,False,False,0,0,0,0,3,0,0,0,3,9,North,False,False,False,False,North,564,True,False,False,False,4,0,0,0,5,0,0,0,2,11,West,False,False,False,False,South,5.976249
566,True,False,False,False,2,0,0,0,0,0,0,0,3,10,North,False,False,False,False,North,563,True,False,False,False,1,0,0,0,4,0,0,0,2,10,South,False,False,False,False,South,5.976249
565,True,False,False,False,5,0,0,0,2,0,0,0,3,11,North,False,False,False,False,West,562,True,False,False,False,4,0,0,0,1,0,0,0,2,9,South,False,False,False,False,South,5.976249
564,True,False,False,False,4,0,0,0,5,0,0,0,2,11,West,False,False,False,False,South,561,True,False,False,False,1,0,0,0,4,0,0,0,2,8,South,False,False,False,False,South,17.928748
-2,True,True,True,True,12,12,6,4,11,5,4,3,12,10,Stop,False,False,False,False,East,-5,True,True,True,True,11,10,2,1,18,10,4,0,14,11,North,False,False,False,False,North,4.764475
-4,True,True,True,True,18,10,4,0,13,12,3,3,14,10,East,False,False,False,False,North,-7,True,True,True,True,16,10,6,1,14,10,5,4,13,12,West,False,False,False,False,South,3.697288
-5,True,True,True,True,11,10,2,1,18,10,4,0,14,11,North,False,False,False,False,North,-8,True,True,True,True,18,11,3,3,16,10,6,1,13,11,South,False,False,False,False,South,3.713812
-6,True,True,True,True,14,10,5,4,11,10,2,1,14,12,North,False,False,False,False,West,-9,True,True,True,True,12,12,5,0,18,11,3,3,13,10,South,False,False,False,False,East,3.750401
-9,True,True,True,True,12,12,5,0,18,11,3,3,13,10,South,False,False,False,False,East,188,True,True,True,False,14,14,1,0,18,19,4,0,15,9,South,False,False,False,False,South,6.868806
190,True,True,True,False,16,15,1,0,12,12,5,0,14,10,East,False,False,False,False,East,187,True,True,True,False,15,14,2,0,14,14,1,0,15,8,South,False,False,False,False,South,6.933038
189,True,True,True,False,18,19,4,0,16,15,1,0,15,10,East,False,False,False,False,South,186,True,True,True,False,14,15,6,0,15,14,2,0,15,7,South,False,False,False,False,East,6.933038
187,True,True,True,False,15,14,2,0,14,14,1,0,15,8,South,False,False,False,False,South,184,True,True,True,False,16,13,2,0,15,13,1,0,16,8,North,False,False,False,False,North,13.301974
185,True,True,True,False,15,13,1,0,14,15,6,0,16,7,East,False,False,False,False,North,382,True,True,False,False,13,13,0,0,11,16,0,0,15,9,West,False,False,False,False,West,1.461226
184,True,True,True,False,16,13,2,0,15,13,1,0,16,8,North,False,False,False,False,North,381,True,True,False,False,15,16,0,0,13,13,0,0,14,9,West,False,False,False,False,West,1.461226
383,True,True,False,False,11,16,0,0,16,13,2,0,16,9,North,False,False,False,False,West,380,True,True,False,False,12,10,0,0,15,16,0,0,13,9,West,False,False,False,False,West,1.746307
382,True,True,False,False,13,13,0,0,11,16,0,0,15,9,West,False,False,False,False,West,379,True,True,False,False,10,10,0,0,12,10,0,0,12,9,West,False,False,False,False,West,1.768482
381,True,True,False,False,15,16,0,0,13,13,0,0,14,9,West,False,False,False,False,West,378,True,True,False,False,10,8,0,0,10,10,0,0,11,9,West,False,False,False,False,West,2.203428
380,True,True,False,False,12,10,0,0,15,16,0,0,13,9,West,False,False,False,False,West,377,True,True,False,False,9,7,0,0,10,8,0,0,10,9,West,False,False,False,False,West,2.86616
379,True,True,False,False,10,10,0,0,12,10,0,0,12,9,West,False,False,False,False,West,376,True,True,False,False,8,6,0,0,9,7,0,0,9,9,West,False,False,False,False,West,2.86616
378,True,True,False,False,10,8,0,0,10,10,0,0,11,9,West,False,False,False,False,West,375,True,True,False,False,7,6,0,0,8,6,0,0,8,9,West,False,False,False,False,West,2.922452
377,True,True,False,False,9,7,0,0,10,8,0,0,10,9,West,False,False,False,False,West,374,True,True,False,False,8,6,0,0,7,6,0,0,7,9,West,False,False,False,False,North,3.58575
376,True,True,False,False,8,6,0,0,9,7,0,0,9,9,West,False,False,False,False,West,373,True,True,False,False,7,4,0,0,8,6,0,0,7,10,North,False,False,False,False,West,5.549374
375,True,True,False,False,7,6,0,0,8,6,0,0,8,9,West,False,False,False,False,West,372,True,True,False,False,2,3,0,0,7,4,0,0,6,10,West,False,False,False,False,North,5.976249
374,True,True,False,False,8,6,0,0,7,6,0,0,7,9,West,False,False,False,False,North,371,True,True,False,False,7,0,0,0,2,3,0,0,6,11,North,False,False,False,False,North,5.976249
373,True,True,False,False,7,4,0,0,8,6,0,0,7,10,North,False,False,False,False,West,370,True,True,False,False,3,0,0,0,7,0,0,0,6,12,North,False,False,False,False,North,8.452124
370,True,True,False,False,3,0,0,0,7,0,0,0,6,12,North,False,False,False,False,North,567,True,False,False,False,7,0,0,0,10,0,0,0,5,12,South,False,False,False,False,South,2.56125
569,True,False,False,False,3,0,0,0,3,0,0,0,6,13,North,False,False,False,False,West,566,True,False,False,False,5,0,0,0,7,0,0,0,5,11,South,False,False,False,False,South,2.56125
568,True,False,False,False,10,0,0,0,3,0,0,0,5,13,West,False,False,False,False,South,565,True,False,False,False,8,0,0,0,5,0,0,0,5,10,South,False,False,False,False,South,2.56125
567,True,False,False,False,7,0,0,0,10,0,0,0,5,12,South,False,False,False,False,South,564,True,False,False,False,5,0,0,0,8,0,0,0,5,9,South,False,False,False,False,East,3.58575
566,True,False,False,False,5,0,0,0,7,0,0,0,5,11,South,False,False,False,False,South,563,True,False,False,False,5,0,0,0,5,0,0,0,6,9,East,False,False,False,False,East,5.976249
565,True,False,False,False,8,0,0,0,5,0,0,0,5,10,South,False,False,False,False,South,562,True,False,False,False,7,0,0,0,5,0,0,0,7,9,East,False,False,False,False,East,5.976249
564,True,False,False,False,5,0,0,0,8,0,0,0,5,9,South,False,False,False,False,East,561,True,False,False,False,3,0,0,0,7,0,0,0,8,9,East,False,False,False,False,East,5.976249
563,True,False,False,False,5,0,0,0,5,0,0,0,6,9,East,False,False,False,False,East,560,True,False,False,False,1,0,0,0,3,0,0,0,9,9,East,False,False,False,False,East,17.928748
-2,True,True,True,True,4,9,4,14,6,7,7,8,12,10,Stop,True,False,True,False,South,-5,True,True,True,True,4,8,4,13,5,8,6,9,12,11,North,False,False,True,True,West,1.64198
-3,True,True,True,True,10,14,3,12,4,9,4,14,12,9,South,True,False,True,False,North,-6,True,True,True,True,8,6,8,10,4,8,4,13,11,11,West,False,True,False,True,West,1.733978
-4,True,True,True,True,5,8,6,9,10,14,3,12,12,10,North,True,False,True,False,North,-7,True,True,True,True,7,11,8,10,8,6,8,10,10,11,West,False,True,False,True,West,1.858322
-5,True,True,True,True,4,8,4,13,5,8,6,9,12,11,North,False,False,True,True,West,-8,True,True,True,True,16,10,6,11,7,11,8,10,9,11,West,False,True,False,True,West,1.869509
-6,True,True,True,True,8,6,8,10,4,8,4,13,11,11,West,False,True,False,True,West,-9,True,True,True,True,11,13,12,12,16,10,6,11,8,11,West,False,True,False,False,North,1.869509
-7,True,True,True,True,7,11,8,10,8,6,8,10,10,11,West,False,True,False,True,West,-10,True,True,True,True,10,8,9,11,11,13,12,12,8,12,North,True,False,True,False,North,2.112917
-8,True,True,True,True,16,10,6,11,7,11,8,10,9,11,West,False,True,False,True,West,-11,True,True,True,True,12,14,9,12,10,8,9,11,8,13,North,True,False,False,False,North,2.452505
-9,True,True,True,True,11,13,12,12,16,10,6,11,8,11,West,False,True,False,False,North,-12,True,True,True,True,3,7,11,8,12,14,9,12,8,14,North,True,False,True,False,North,2.911371
-10,True,True,True,True,10,8,9,11,11,13,12,12,8,12,North,True,False,True,False,North,-13,True,True,True,True,10,11,10,8,3,7,11,8,8,15,North,False,False,True,False,North,3.659596
-11,True,True,True,True,12,14,9,12,10,8,9,11,8,13,North,True,False,False,False,North,-14,True,True,True,True,6,10,10,10,10,11,10,8,8,16,North,True,False,True,False,North,3.713404
-12,True,True,True,True,3,7,11,8,12,14,9,12,8,14,North,True,False,True,False,North,-15,True,True,True,True,11,2,15,10,6,10,10,10,8,17,North,True,False,False,True,East,4.9986
-13,True,True,True,True,10,11,10,8,3,7,11,8,8,15,North,False,False,True,False,North,-16,True,True,True,True,14,3,9,9,11,2,15,10,9,17,East,False,True,False,True,East,5.130528
-14,True,True,True,True,6,10,10,10,10,11,10,8,8,16,North,True,False,True,False,North,-17,True,True,True,True,4,5,9,10,14,3,9,9,10,17,East,False,True,False,True,East,6.382621
-15,True,True,True,True,11,2,15,10,6,10,10,10,8,17,North,True,False,False,True,East,-18,True,True,True,True,4,0,6,4,4,5,9,10,11,17,East,False,True,False,True,East,11.938343
-17,True,True,True,True,4,5,9,10,14,3,9,9,10,17,East,False,True,False,True,East,180,True,False,True,True,4,0,5,4,2,0,9,0,13,17,East,False,False,False,True,South,12.381324
-18,True,True,True,True,4,0,6,4,4,5,9,10,11,17,East,False,True,False,True,East,179,True,False,True,True,2,0,0,1,4,0,5,4,13,16,South,True,False,False,False,South,12.765241
181,True,False,True,True,2,0,9,0,4,0,6,4,12,17,East,False,True,False,False,East,178,True,False,True,True,0,0,1,4,2,0,0,1,13,15,South,False,True,False,False,West,13.302725
179,True,False,True,True,2,0,0,1,4,0,5,4,13,16,South,True,False,False,False,South,176,True,False,True,True,2,0,4,4,7,0,2,1,13,15,East,False,True,False,False,East,13.302725
178,True,False,True,True,0,0,1,4,2,0,0,1,13,15,South,False,True,False,False,West,175,True,False,True,True,1,0,2,3,2,0,4,4,14,15,East,False,True,False,False,East,28.217902
177,True,False,True,True,7,0,2,1,0,0,1,4,12,15,West,False,True,False,True,East,374,True,False,False,True,0,0,0,3,1,0,2,3,15,15,East,False,True,False,True,West,28.217902
-3,True,True,True,True,5,8,7,7,7,8,8,10,12,10,Stop,True,False,True,False,North,-6,True,True,True,True,2,8,7,10,5,6,8,9,10,11,West,False,True,False,True,West,2.205436
-4,True,True,True,True,5,5,5,7,5,8,7,7,12,11,North,False,False,True,True,West,-7,True,True,True,True,4,9,9,10,2,8,7,10,9,11,West,False,True,False,True,West,2.605486
-5,True,True,True,True,5,6,8,9,5,5,5,7,11,11,West,False,True,False,True,West,-8,True,True,True,True,9,10,8,6,4,9,9,10,8,11,West,False,True,False,False,North,2.635738
-6,True,True,True,True,2,8,7,10,5,6,8,9,10,11,West,False,True,False,True,West,-9,True,True,True,True,9,7,8,11,9,10,8,6,8,12,North,True,False,True,False,North,2.950892
-7,True,True,True,True,4,9,9,10,2,8,7,10,9,11,West,False,True,False,True,West,-10,True,True,True,True,5,10,9,13,9,7,8,11,8,13,North,True,False,False,False,North,2.995353
-8,True,True,True,True,9,10,8,6,4,9,9,10,8,11,West,False,True,False,False,North,-11,True,True,True,True,6,10,1,11,5,10,9,13,8,14,North,True,False,True,False,North,3.019735
-9,True,True,True,True,9,7,8,11,9,10,8,6,8,12,North,True,False,True,False,North,-12,True,True,True,True,6,8,2,7,6,10,1,11,8,15,North,False,False,True,False,North,3.775184
-10,True,True,True,True,5,10,9,13,9,7,8,11,8,13,North,True,False,False,False,North,-13,True,True,True,True,9,6,2,8,6,8,2,7,8,16,North,True,False,True,False,North,4.367056
-11,True,True,True,True,6,10,1,11,5,10,9,13,8,14,North,True,False,True,False,North,-14,True,True,True,True,6,5,3,12,9,6,2,8,8,17,North,True,False,False,True,East,5.18288
-12,True,True,True,True,6,8,2,7,6,10,1,11,8,15,North,False,False,True,False,North,-15,True,True,True,True,4,5,3,9,6,5,3,12,9,17,East,False,True,False,True,East,6.382621
-13,True,True,True,True,9,6,2,8,6,8,2,7,8,16,North,True,False,True,False,North,-16,True,True,True,True,9,3,0,5,4,5,3,9,10,17,East,False,True,False,True,East,8.230221
-14,True,True,True,True,6,5,3,12,9,6,2,8,8,17,North,True,False,False,True,East,-17,True,True,True,True,5,1,9,5,9,3,0,5,11,17,East,False,True,False,True,East,11.938343
-17,True,True,True,True,5,1,9,5,9,3,0,5,11,17,East,False,True,False,True,East,180,True,False,True,True,7,0,3,4,7,0,2,6,12,17,South,False,True,False,False,East,8.331
182,True,False,True,True,6,0,3,3,5,1,9,5,12,17,East,False,True,False,False,North,179,True,False,True,True,6,0,0,4,7,0,3,4,13,17,East,False,False,False,True,South,22.459147
180,True,False,True,True,7,0,3,4,7,0,2,6,12,17,South,False,True,False,False,East,177,True,False,True,True,4,0,0,9,4,0,2,1,14,16,East,False,False,True,False,North,12.765241
179,True,False,True,True,6,0,0,4,7,0,3,4,13,17,East,False,False,False,True,South,176,True,False,True,True,3,0,1,6,4,0,0,9,14,17,North,False,False,False,True,West,12.765241
177,True,False,True,True,4,0,0,9,4,0,2,1,14,16,East,False,False,True,False,North,374,True,False,False,True,6,0,0,2,5,0,0,4,13,16,South,True,False,False,False,South,7.054476
176,True,False,True,True,3,0,1,6,4,0,0,9,14,17,North,False,False,False,True,West,373,True,False,False,True,4,0,0,4,6,0,0,2,13,15,South,False,True,False,False,West,7.054476
375,True,False,False,True,5,0,0,4,3,0,1,6,13,17,West,False,False,False,True,South,572,True,False,False,False,7,0,0,0,4,0,0,4,12,15,West,False,True,False,True,East,7.054476
374,True,False,False,True,6,0,0,2,5,0,0,4,13,16,South,True,False,False,False,South,571,True,False,False,False,1,0,0,0,7,0,0,0,13,15,East,False,True,False,False,East,7.054476
373,True,False,False,True,4,0,0,4,6,0,0,2,13,15,South,False,True,False,False,West,570,True,False,False,False,0,0,0,0,1,0,0,0,14,15,East,False,True,False,False,East,14.108951
-1,True,True,True,True,29,23,29,24,28,18,30,26,12,27,Stop,False,False,True,True,South,-4,True,True,True,True,29,23,29,24,28,24,30,24,12,24,South,True,False,True,False,South,0.954667
-2,True,True,True,True,29,22,29,22,29,23,29,24,12,26,South,True,False,True,False,South,-5,True,True,True,True,26,24,24,23,29,23,29,24,12,23,South,False,True,False,False,West,1.019528
-3,True,True,True,True,28,24,30,24,29,22,29,22,12,25,South,True,False,True,False,South,-6,True,True,True,True,26,21,27,25,26,24,24,23,11,23,West,False,True,False,True,West,1.024565
-4,True,True,True,True,29,23,29,24,28,24,30,24,12,24,South,True,False,True,False,South,-7,True,True,True,True,24,18,28,26,26,21,27,25,10,23,West,False,True,False,True,West,1.099891
-5,True,True,True,True,26,24,24,23,29,23,29,24,12,23,South,False,True,False,False,West,-8,True,True,True,True,20,15,27,22,24,18,28,26,9,23,West,False,False,False,True,South,1.187927
-9,True,True,True,True,22,13,25,26,20,15,27,22,9,22,South,True,False,True,False,South,-12,True,True,True,True,19,17,20,21,17,12,22,24,10,20,East,False,True,False,True,East,1.069125
-10,True,True,True,True,20,13,24,25,22,13,25,26,9,21,South,True,False,True,False,South,-13,True,True,True,True,19,16,19,24,19,17,20,21,11,20,East,False,True,False,True,East,1.074968
-11,True,True,True,True,17,12,22,24,20,13,24,25,9,20,South,True,True,False,False,East,-14,True,True,True,True,18,14,20,17,19,16,19,24,12,20,East,False,False,True,True,South,1.151182
-12,True,True,True,True,19,17,20,21,17,12,22,24,10,20,East,False,True,False,True,East,-15,True,True,True,True,19,16,20,15,18,14,20,17,12,19,South,True,False,True,False,South,1.24773
-13,True,True,True,True,19,16,19,24,19,17,20,21,11,20,East,False,True,False,True,East,-16,True,True,True,True,16,14,20,16,19,16,20,15,12,18,South,True,False,True,False,South,1.363158
-14,True,True,True,True,18,14,20,17,19,16,19,24,12,20,East,False,False,True,True,South,-17,True,True,True,True,13,11,12,16,16,14,20,16,12,17,South,False,True,False,False,East,1.374937
-15,True,True,True,True,19,16,20,15,18,14,20,17,12,19,South,True,False,True,False,South,-18,True,True,True,True,16,11,18,10,13,11,12,16,13,17,East,False,False,False,True,East,1.37907
-18,True,True,True,True,16,11,18,10,13,11,12,16,13,17,East,False,False,False,True,East,-21,True,True,True,True,25,13,16,17,16,10,17,13,16,17,East,False,True,False,True,East,1.387672
-19,True,True,True,True,14,9,20,15,16,11,18,10,14,17,East,False,False,False,True,East,-22,True,True,True,True,20,10,15,11,25,13,16,17,17,17,East,False,True,False,True,East,1.392149
-20,True,True,True,True,16,10,17,13,14,9,20,15,15,17,East,False,True,False,False,East,-23,True,True,True,True,21,13,20,11,20,10,15,11,18,17,East,False,True,False,True,East,1.401482
-21,True,True,True,True,25,13,16,17,16,10,17,13,16,17,East,False,True,False,True,East,-24,True,True,True,True,24,14,18,9,21,13,20,11,19,17,East,False,False,True,True,South,1.480755
-22,True,True,True,True,20,10,15,11,25,13,16,17,17,17,East,False,True,False,True,East,-25,True,True,True,True,20,16,15,8,24,14,18,9,19,16,South,True,False,True,False,South,1.575735
-23,True,True,True,True,21,13,20,11,20,10,15,11,18,17,East,False,True,False,True,East,-26,True,True,True,True,19,11,15,6,20,16,15,8,19,15,South,True,False,False,False,South,1.588739
-24,True,True,True,True,24,14,18,9,21,13,20,11,19,17,East,False,False,True,True,South,-27,True,True,True,True,13,12,14,5,19,11,15,6,19,14,South,True,False,True,False,South,1.775616
-25,True,True,True,True,20,16,15,8,24,14,18,9,19,16,South,True,False,True,False,South,-28,True,True,True,True,15,10,12,5,13,12,14,5,19,13,South,False,False,True,False,South,1.791613
-26,True,True,True,True,19,11,15,6,20,16,15,8,19,15,South,True,False,False,False,South,-29,True,True,True,True,13,12,13,3,15,10,12,5,19,12,South,True,False,True,False,South,1.913939
-27,True,True,True,True,13,12,14,5,19,11,15,6,19,14,South,True,False,True,False,South,-30,True,True,True,True,15,6,10,0,13,12,13,3,19,11,South,False,True,False,False,East,1.933297
-28,True,True,True,True,15,10,12,5,13,12,14,5,19,13,South,False,False,True,False,South,-31,True,True,True,True,14,8,11,3,15,6,10,0,20,11,East,False,True,False,True,East,1.977173
-30,True,True,True,True,15,6,10,0,13,12,13,3,19,11,South,False,True,False,False,East,-33,True,True,True,True,14,10,15,0,16,9,16,0,21,10,South,True,False,True,False,South,2.002172
-31,True,True,True,True,14,8,11,3,15,6,10,0,20,11,East,False,True,False,True,East,166,True,True,True,False,12,15,13,0,14,10,15,0,21,9,South,True,False,True,False,South,2.299811
-32,True,True,True,True,16,9,16,0,14,8,11,3,21,11,East,False,False,False,False,South,165,True,True,True,False,10,13,13,0,12,15,13,0,21,8,South,False,False,True,False,West,2.72694
-33,True,True,True,True,14,10,15,0,16,9,16,0,21,10,South,True,False,True,False,South,164,True,True,True,False,7,12,13,0,10,13,13,0,20,8,West,False,True,False,True,West,3.353482
166,True,True,True,False,12,15,13,0,14,10,15,0,21,9,South,True,False,True,False,South,163,True,True,True,False,8,6,10,0,7,12,13,0,19,8,West,False,True,False,True,West,3.383269
165,True,True,True,False,10,13,13,0,12,15,13,0,21,8,South,False,False,True,False,West,162,True,True,True,False,13,10,10,0,8,6,10,0,18,8,West,False,False,False,True,South,3.415262
164,True,True,True,False,7,12,13,0,10,13,13,0,20,8,West,False,True,False,True,West,161,True,True,True,False,9,11,10,0,13,10,10,0,18,7,South,True,False,True,False,South,3.449716
163,True,True,True,False,8,6,10,0,7,12,13,0,19,8,West,False,True,False,True,West,160,True,True,True,False,1,10,6,0,9,11,10,0,18,6,South,True,False,True,False,South,4.326745
162,True,True,True,False,13,10,10,0,8,6,10,0,18,8,West,False,False,False,True,South,159,True,True,True,False,0,10,8,0,1,10,6,0,18,5,South,False,True,True,False,West,4.9986
161,True,True,True,False,9,11,10,0,13,10,10,0,18,7,South,True,False,True,False,South,158,True,True,True,False,3,12,4,0,0,10,8,0,17,5,West,False,True,False,True,West,6.046693
160,True,True,True,False,1,10,6,0,9,11,10,0,18,6,South,True,False,True,False,South,157,True,True,True,False,4,12,6,0,3,12,4,0,16,5,West,False,True,False,True,West,7.72633
159,True,True,True,False,0,10,8,0,1,10,6,0,18,5,South,False,True,True,False,West,156,True,True,True,False,4,11,1,0,4,12,6,0,15,5,West,True,False,False,True,South,21.207243
157,True,True,True,False,4,12,6,0,3,12,4,0,16,5,West,False,True,False,True,West,354,True,True,False,False,3,10,0,0,3,13,0,0,15,3,South,False,True,False,False,East,7.451481
156,True,True,True,False,4,11,1,0,4,12,6,0,15,5,West,True,False,False,True,South,353,True,True,False,False,2,15,0,0,3,10,0,0,16,3,East,False,True,False,True,East,20.888577
354,True,True,False,False,3,10,0,0,3,13,0,0,15,3,South,False,True,False,False,East,551,False,True,False,False,0,19,0,0,0,10,0,0,18,3,East,False,True,False,True,West,1.282632
353,True,True,False,False,2,15,0,0,3,10,0,0,16,3,East,False,True,False,True,East,550,False,True,False,False,0,16,0,0,0,19,0,0,17,3,West,False,True,False,True,West,1.282632
552,False,True,False,False,0,10,0,0,2,15,0,0,17,3,East,False,True,False,True,East,549,False,True,False,False,0,17,0,0,0,16,0,0,16,3,West,False,True,False,True,West,1.282632
551,False,True,False,False,0,19,0,0,0,10,0,0,18,3,East,False,True,False,True,West,548,False,True,False,False,0,19,0,0,0,17,0,0,15,3,West,False,True,False,False,West,1.34371
550,False,True,False,False,0,16,0,0,0,19,0,0,17,3,West,False,True,False,True,West,547,False,True,False,False,0,16,0,0,0,19,0,0,14,3,West,False,True,False,True,West,1.34371
549,False,True,False,False,0,17,0,0,0,16,0,0,16,3,West,False,True,False,True,West,546,False,True,False,False,0,15,0,0,0,16,0,0,13,3,West,False,True,False,True,West,1.485153
548,False,True,False,False,0,19,0,0,0,17,0,0,15,3,West,False,True,False,False,West,545,False,True,False,False,0,14,0,0,0,15,0,0,12,3,West,False,True,False,False,North,1.659877
547,False,True,False,False,0,16,0,0,0,19,0,0,14,3,West,False,True,False,True,West,544,False,True,False,False,0,11,0,0,0,14,0,0,12,4,North,True,False,True,False,North,1.763619
546,False,True,False,False,0,15,0,0,0,16,0,0,13,3,West,False,True,False,True,West,543,False,True,False,False,0,8,0,0,0,11,0,0,12,5,North,False,False,True,True,West,2.015564
545,False,True,False,False,0,14,0,0,0,15,0,0,12,3,West,False,True,False,False,North,542,False,True,False,False,0,10,0,0,0,8,0,0,11,5,West,False,True,False,True,West,2.015564
544,False,True,False,False,0,11,0,0,0,14,0,0,12,4,North,True,False,True,False,North,541,False,True,False,False,0,7,0,0,0,10,0,0,10,5,West,False,True,False,True,West,2.170608
