@relation prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute scoreN numeric
@attribute ghost1-livingN {True,False}
@attribute ghost2-livingN {True,False}
@attribute ghost3-livingN {True,False}
@attribute ghost4-livingN {True,False}
@attribute distance-ghost1N numeric
@attribute distance-ghost2N numeric
@attribute distance-ghost3N numeric
@attribute distance-ghost4N numeric
@attribute prev-distance-ghost1N numeric
@attribute prev-distance-ghost2N numeric
@attribute prev-distance-ghost3N numeric
@attribute prev-distance-ghost4N numeric
@attribute posXN numeric
@attribute posYN numeric
@attribute directionN {North,South,East,West,Stop}
@attribute wall-eastN {True,False}
@attribute wall-southN {True,False}
@attribute wall-westN {True,False}
@attribute wall-northN {True,False}
@attribute moveN {North,South,East,West,Stop}
@attribute fx numeric

@data
371,True,True,False,False,11,6,0,0,9,2,1,0,4,7,North,False,False,False,False,North,368,True,True,False,False,12,3,0,0,8,1,0,0,4,6,South,False,False,False,False,South,13.5
370,True,True,False,False,10,4,0,0,11,6,0,0,4,8,North,False,False,False,False,South,567,True,False,False,False,13,0,0,0,12,3,0,0,4,5,South,False,False,False,False,North,1.590909
369,True,True,False,False,8,1,0,0,10,4,0,0,4,7,South,False,False,False,False,South,566,True,False,False,False,12,0,0,0,13,0,0,0,4,6,North,False,False,False,False,North,1.944444
368,True,True,False,False,12,3,0,0,8,1,0,0,4,6,South,False,False,False,False,South,565,True,False,False,False,8,0,0,0,12,0,0,0,4,7,North,False,False,False,False,North,1.944444
567,True,False,False,False,13,0,0,0,12,3,0,0,4,5,South,False,False,False,False,North,564,True,False,False,False,10,0,0,0,8,0,0,0,4,8,North,False,False,False,False,West,2.1875
566,True,False,False,False,12,0,0,0,13,0,0,0,4,6,North,False,False,False,False,North,563,True,False,False,False,6,0,0,0,10,0,0,0,3,8,West,True,False,False,False,North,2.916667
565,True,False,False,False,8,0,0,0,12,0,0,0,4,7,North,False,False,False,False,North,562,True,False,False,False,6,0,0,0,6,0,0,0,3,9,North,False,False,False,False,North,3.5
564,True,False,False,False,10,0,0,0,8,0,0,0,4,8,North,False,False,False,False,West,561,True,False,False,False,6,0,0,0,6,0,0,0,3,10,North,True,False,True,False,South,2.916667
563,True,False,False,False,6,0,0,0,10,0,0,0,3,8,West,True,False,False,False,North,560,True,False,False,False,6,0,0,0,6,0,0,0,3,9,South,False,False,False,False,South,2.916667
562,True,False,False,False,6,0,0,0,6,0,0,0,3,9,North,False,False,False,False,North,559,True,False,False,False,10,0,0,0,6,0,0,0,3,8,South,True,False,False,False,North,2.5
561,True,False,False,False,6,0,0,0,6,0,0,0,3,10,North,True,False,True,False,South,558,True,False,False,False,3,0,0,0,10,0,0,0,3,9,North,False,False,False,False,West,3.5
560,True,False,False,False,6,0,0,0,6,0,0,0,3,9,South,False,False,False,False,South,557,True,False,False,False,4,0,0,0,3,0,0,0,2,9,West,False,True,False,True,West,3.5
559,True,False,False,False,10,0,0,0,6,0,0,0,3,8,South,True,False,False,False,North,556,True,False,False,False,4,0,0,0,4,0,0,0,1,9,West,True,False,False,False,North,5.833333
558,True,False,False,False,3,0,0,0,10,0,0,0,3,9,North,False,False,False,False,West,555,True,False,False,False,0,0,0,0,4,0,0,0,1,10,North,True,False,True,False,North,17.5
-6,True,True,True,True,9,9,1,2,11,9,4,0,13,13,North,False,False,False,False,North,-9,True,True,True,True,16,13,7,4,16,14,7,0,14,13,South,False,False,False,False,South,2.58636
-7,True,True,True,True,12,12,8,0,9,9,1,2,13,14,North,False,False,False,True,East,-10,True,True,True,True,12,15,2,0,16,13,7,4,14,12,South,False,False,False,False,South,3.750401
-8,True,True,True,True,16,14,7,0,12,12,8,0,14,14,East,False,False,False,True,South,-11,True,True,True,True,13,14,0,2,12,15,2,0,14,11,South,False,False,False,False,South,3.750401
-9,True,True,True,True,16,13,7,4,16,14,7,0,14,13,South,False,False,False,False,South,-12,True,True,True,True,11,12,7,4,13,14,0,2,14,10,South,False,False,False,False,East,6.994182
-11,True,True,True,True,13,14,0,2,12,15,2,0,14,11,South,False,False,False,False,South,-14,True,True,True,True,11,19,4,1,12,12,3,2,15,9,South,False,False,False,False,South,3.731476
-12,True,True,True,True,11,12,7,4,13,14,0,2,14,10,South,False,False,False,False,East,-15,True,True,True,True,10,15,3,0,11,19,4,1,15,8,South,False,False,False,False,West,4.780999
-13,True,True,True,True,12,12,3,2,11,12,7,4,15,10,East,False,False,False,False,South,184,True,True,True,False,10,14,3,0,10,15,3,0,14,8,West,False,False,False,False,North,6.972291
-14,True,True,True,True,11,19,4,1,12,12,3,2,15,9,South,False,False,False,False,South,183,True,True,True,False,11,13,0,0,10,14,3,0,14,9,North,False,False,False,False,West,7.017824
