@relation 'prueba-weka.filters.unsupervised.attribute.Remove-R19-37-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 4'

@attribute score numeric
@attribute ghosts-living numeric
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
-13,4,0,22,16,10,0,20,14,8,16,12,North,False,False,False,False,East,cluster10
186,4,0,22,18,12,0,22,16,10,17,12,East,False,False,False,False,West,cluster6
185,4,0,22,17,10,0,22,18,12,16,12,West,False,False,False,False,South,cluster2
184,4,0,20,16,9,0,22,17,10,16,11,South,False,False,False,False,South,cluster2
183,4,0,20,16,9,0,20,16,9,16,10,South,False,False,False,False,South,cluster2
182,4,0,18,16,7,0,20,16,9,16,9,South,False,False,False,False,South,cluster2
181,4,0,18,16,7,0,18,16,7,16,8,South,False,False,False,False,South,cluster2
180,4,0,18,15,5,0,18,16,7,16,7,South,False,False,False,False,South,cluster2
177,4,0,15,15,2,0,17,15,2,16,4,South,False,False,False,False,South,cluster3
376,4,0,15,15,0,0,15,15,2,16,3,South,False,True,False,False,East,cluster3
375,4,0,16,17,0,0,15,15,0,17,3,East,False,True,False,False,West,cluster6
374,4,0,15,16,0,0,16,17,0,16,3,West,False,True,False,False,West,cluster6
373,4,0,13,14,0,0,15,16,0,15,3,West,False,True,False,False,West,cluster6
372,4,0,11,14,0,0,13,14,0,14,3,West,False,True,False,False,West,cluster6
371,4,0,10,12,0,0,11,14,0,13,3,West,False,True,False,False,West,cluster6
370,4,0,10,12,0,0,10,12,0,12,3,West,False,True,False,False,West,cluster6
369,4,0,10,10,0,0,10,12,0,11,3,West,False,True,False,False,West,cluster6
368,4,0,8,9,0,0,10,10,0,10,3,West,False,True,False,False,West,cluster6
367,4,0,7,9,0,0,8,9,0,9,3,West,False,True,False,False,West,cluster6
366,4,0,6,7,0,0,7,9,0,8,3,West,False,True,False,False,West,cluster6
365,4,0,6,5,0,0,6,7,0,7,3,West,False,True,False,False,West,cluster6
363,4,0,2,2,0,0,4,4,0,6,4,North,False,False,False,False,West,cluster8
-4,4,0,14,9,7,0,14,9,5,13,12,East,False,False,False,False,East,cluster10
-6,4,0,16,11,9,0,14,11,9,15,12,East,False,False,False,False,South,cluster2
-7,4,0,15,12,7,0,16,11,9,15,11,South,False,False,False,False,South,cluster2
192,4,0,15,13,7,0,15,12,7,15,10,South,False,False,False,False,South,cluster3
191,4,0,13,13,5,0,15,13,7,15,9,South,False,False,False,False,South,cluster3
189,4,0,11,14,2,0,11,13,4,15,7,South,False,False,False,False,South,cluster3
188,4,0,11,14,1,0,11,14,2,15,6,South,False,False,False,False,West,cluster6
387,4,0,11,12,0,0,11,14,1,14,6,West,False,False,False,False,West,cluster6
386,4,0,11,12,0,0,11,12,0,13,6,West,False,False,False,False,West,cluster6
384,4,0,8,9,0,0,10,10,0,11,6,West,False,False,False,False,West,cluster6
383,4,0,8,8,0,0,8,9,0,10,6,West,False,False,False,False,North,cluster6
382,4,0,10,8,0,0,8,8,0,10,7,North,False,False,False,False,West,cluster6
381,4,0,10,8,0,0,10,8,0,9,7,West,False,False,False,False,North,cluster6
380,4,0,10,6,0,0,10,8,0,9,8,North,False,False,False,False,West,cluster6
379,4,0,8,6,0,0,10,6,0,8,8,West,False,False,False,False,West,cluster6
378,4,0,6,4,0,0,8,6,0,7,8,West,False,False,False,False,North,cluster6
376,4,0,6,2,0,0,6,2,0,7,10,North,False,False,False,False,West,cluster8
375,4,0,5,2,0,0,6,2,0,6,10,West,False,False,False,False,West,cluster6
574,4,0,5,0,0,0,5,2,0,5,10,West,False,False,False,False,South,cluster3
573,4,0,3,0,0,0,5,0,0,5,9,South,False,False,False,False,South,cluster3
572,4,0,2,0,0,0,3,0,0,5,8,South,False,False,False,False,South,cluster3
571,4,0,2,0,0,0,2,0,0,5,7,South,False,False,False,False,West,cluster3
570,4,0,2,0,0,0,2,0,0,4,7,West,False,False,False,False,West,cluster6
569,4,0,2,0,0,0,2,0,0,3,7,West,False,False,False,False,North,cluster8
-2,4,0,10,8,6,0,10,10,4,12,11,North,False,False,False,False,North,cluster8
-5,4,0,11,10,6,0,12,8,8,12,10,South,False,False,False,False,North,cluster3
-6,4,0,11,9,8,0,11,10,6,12,11,North,False,False,False,False,North,cluster8
-7,4,0,11,9,10,0,11,9,8,12,12,North,False,False,False,False,East,cluster10
191,4,0,13,9,8,0,11,9,10,14,12,East,False,False,False,False,East,cluster10
190,4,0,13,11,6,0,13,9,8,15,12,East,False,False,False,False,South,cluster3
189,4,0,13,13,6,0,13,11,6,15,11,South,False,False,False,False,South,cluster3
