@relation prueba-weka.filters.unsupervised.attribute.Remove-R19-37

@attribute score numeric
@attribute ghosts-living numeric
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}

@data
-1,4,0,10,10,4,0,11,9,5,12,10,Stop,False,False,False,False,North
-2,4,0,10,8,6,0,10,10,4,12,11,North,False,False,False,False,North
-5,4,0,11,10,6,0,12,8,8,12,10,South,False,False,False,False,North
-6,4,0,11,9,8,0,11,10,6,12,11,North,False,False,False,False,North
-7,4,0,11,9,10,0,11,9,8,12,12,North,False,False,False,False,East
191,4,0,13,9,8,0,11,9,10,14,12,East,False,False,False,False,East
190,4,0,13,11,6,0,13,9,8,15,12,East,False,False,False,False,South
189,4,0,13,13,6,0,13,11,6,15,11,South,False,False,False,False,South
188,4,0,13,13,6,0,13,13,6,15,10,South,False,False,False,False,South
187,4,0,11,15,6,0,13,13,6,15,9,South,False,False,False,False,South
186,4,0,10,15,6,0,11,15,6,15,8,South,False,False,False,False,South
184,4,0,8,17,4,0,10,15,5,15,6,South,False,False,False,False,South
181,4,0,8,22,1,0,8,20,2,17,5,East,False,False,False,False,North
380,4,0,8,21,0,0,8,22,1,17,6,North,False,False,False,False,North
379,4,0,10,21,0,0,8,21,0,17,7,North,False,False,False,False,West
378,4,0,8,20,0,0,10,21,0,16,7,West,False,False,False,False,West
377,4,0,8,20,0,0,8,20,0,15,7,West,False,False,False,False,West
376,4,0,8,18,0,0,8,20,0,14,7,West,False,False,False,False,West
375,4,0,7,16,0,0,8,18,0,13,7,West,False,False,False,False,West
374,4,0,7,15,0,0,7,16,0,12,7,West,False,False,False,False,West
373,4,0,7,13,0,0,7,15,0,11,7,West,False,False,False,False,West
372,4,0,7,12,0,0,7,13,0,10,7,West,False,False,False,False,West
371,4,0,6,10,0,0,7,12,0,9,7,West,False,False,False,False,West
370,4,0,6,8,0,0,6,10,0,8,7,West,False,False,False,False,West
369,4,0,6,6,0,0,6,8,0,7,7,West,False,False,False,False,West
368,4,0,5,4,0,0,6,6,0,6,7,West,False,False,False,False,South
366,4,0,2,4,0,0,3,4,0,6,5,South,False,False,False,False,South
365,4,0,1,6,0,0,2,4,0,6,4,South,False,False,False,False,West
564,4,0,0,6,0,0,1,6,0,5,4,West,False,False,False,False,North
563,4,0,0,6,0,0,0,6,0,5,5,North,False,False,False,False,North
562,4,0,0,6,0,0,0,6,0,5,6,North,False,False,False,False,North
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop
-5,4,0,18,9,6,0,16,7,6,14,12,East,False,False,False,False,North
-7,4,0,22,11,6,0,20,9,6,14,14,North,False,False,False,True,South
192,4,0,20,11,6,0,22,11,6,14,13,South,False,False,False,False,West
191,4,0,20,11,8,0,20,11,6,13,13,West,False,False,False,False,South
190,4,0,20,10,7,0,20,11,8,13,12,South,False,False,False,False,South
189,4,0,20,10,5,0,20,10,7,13,11,South,False,False,False,False,South
188,4,0,18,10,4,0,20,10,5,13,10,South,False,False,False,False,South
186,4,0,14,11,3,0,16,11,4,13,8,South,False,False,False,False,South
185,4,0,13,13,1,0,14,11,3,13,7,South,False,False,False,False,South
384,4,0,12,13,0,0,13,13,1,13,6,South,False,False,False,False,West
383,4,0,10,11,0,0,12,13,0,12,6,West,False,False,False,False,West
382,4,0,9,11,0,0,10,11,0,11,6,West,False,False,False,False,West
381,4,0,9,9,0,0,9,11,0,10,6,West,False,False,False,False,West
379,4,0,7,6,0,0,9,7,0,8,6,West,False,False,False,False,North
378,4,0,7,4,0,0,7,6,0,8,7,North,False,False,False,False,North
377,4,0,8,4,0,0,7,4,0,8,8,North,False,False,False,False,North
375,4,0,8,2,0,0,10,2,0,7,9,West,False,False,False,False,West
374,4,0,6,1,0,0,8,2,0,6,9,West,False,False,False,False,South
573,4,0,6,0,0,0,6,1,0,6,8,South,False,False,False,False,South
572,4,0,5,0,0,0,6,0,0,6,7,South,False,False,False,False,West
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop
-2,4,0,12,9,6,0,10,9,5,12,11,North,False,False,False,False,North
-3,4,0,12,9,6,0,12,9,6,12,12,North,False,False,False,False,East
196,4,0,13,10,8,0,12,9,6,13,12,East,False,False,False,False,South
195,4,0,11,10,6,0,13,10,8,13,11,South,False,False,False,False,South
194,4,0,11,12,4,0,11,10,6,13,10,South,False,False,False,False,South
192,4,0,8,13,4,0,10,13,4,13,8,South,False,False,False,False,South
191,4,0,8,14,2,0,8,13,4,13,7,South,False,False,False,False,South
390,4,0,10,14,0,0,8,14,2,13,6,South,False,False,False,False,West
389,4,0,8,14,0,0,10,14,0,12,6,West,False,False,False,False,West
388,4,0,8,12,0,0,8,14,0,11,6,West,False,False,False,False,West
387,4,0,6,10,0,0,8,12,0,10,6,West,False,False,False,False,West
386,4,0,6,9,0,0,6,10,0,9,6,West,False,False,False,False,West
384,4,0,2,6,0,0,4,7,0,7,6,West,False,False,False,False,West
383,4,0,1,5,0,0,2,6,0,6,6,West,False,False,False,False,West
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop
-3,4,0,13,6,8,0,12,8,7,12,12,North,False,False,False,False,East
-6,4,0,17,7,8,0,17,7,8,15,12,East,False,False,False,False,North
-7,4,0,19,8,10,0,17,7,8,15,13,North,False,False,False,False,East
192,4,0,20,9,10,0,19,8,10,16,13,East,False,False,False,False,South
191,4,0,18,9,9,0,20,9,10,16,12,South,False,False,False,False,South
190,4,0,17,9,9,0,18,9,9,16,11,South,False,False,False,False,South
189,4,0,15,9,9,0,17,9,9,16,10,South,False,False,False,False,South
188,4,0,14,9,7,0,15,9,9,16,9,South,False,False,False,False,South
187,4,0,12,10,6,0,14,9,7,16,8,South,False,False,False,False,South
185,4,0,14,13,2,0,12,11,4,16,6,South,False,False,False,False,South
184,4,0,14,14,1,0,14,13,2,16,5,South,False,False,False,False,West
383,4,0,14,14,0,0,14,14,1,15,5,West,False,False,False,False,West
382,4,0,12,14,0,0,14,14,0,14,5,West,False,False,False,False,West
381,4,0,12,14,0,0,12,14,0,13,5,West,False,False,False,False,West
380,4,0,11,14,0,0,12,14,0,12,5,West,False,False,False,False,West
379,4,0,10,12,0,0,11,14,0,11,5,West,False,False,False,False,West
378,4,0,9,12,0,0,10,12,0,10,5,West,False,False,False,False,West
377,4,0,9,12,0,0,9,12,0,9,5,West,False,False,False,False,West
376,4,0,7,10,0,0,9,12,0,8,5,West,False,False,False,False,West
375,4,0,7,9,0,0,7,10,0,7,5,West,False,False,False,False,North
374,4,0,5,9,0,0,7,9,0,7,6,North,False,False,False,False,North
373,4,0,3,7,0,0,5,9,0,7,7,North,False,False,False,False,North
372,4,0,3,5,0,0,3,7,0,7,8,North,False,False,False,False,North
369,4,0,3,5,0,0,3,5,0,5,9,West,False,False,False,False,West
368,4,0,3,7,0,0,3,5,0,4,9,West,False,False,False,False,West
367,4,0,3,9,0,0,3,7,0,3,9,West,False,False,False,False,North
364,4,0,1,6,0,0,1,8,0,2,11,North,False,False,False,False,South
363,4,0,1,8,0,0,1,6,0,2,10,South,False,False,False,False,North
562,4,0,0,6,0,0,1,8,0,2,11,North,False,False,False,False,East
561,4,0,0,6,0,0,0,6,0,3,11,East,False,False,False,False,East
560,4,0,0,5,0,0,0,6,0,4,11,East,False,False,False,False,East
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop
-3,4,0,12,7,6,0,12,9,6,12,12,North,False,False,False,False,West
-4,4,0,10,7,7,0,12,7,6,11,12,West,False,False,False,False,North
195,4,0,12,7,8,0,10,7,7,11,13,North,False,False,False,False,West
194,4,0,12,6,10,0,12,7,8,10,13,West,False,False,False,False,West
193,4,0,10,6,12,0,12,6,10,9,13,West,False,False,False,False,West
192,4,0,9,4,14,0,10,6,12,8,13,West,False,False,False,False,West
191,4,0,9,4,14,0,9,4,14,7,13,West,False,False,False,False,West
190,4,0,8,4,15,0,9,4,14,6,13,West,False,False,False,False,South
189,4,0,8,3,13,0,8,4,15,6,12,South,False,False,False,False,South
188,4,0,8,3,11,0,8,3,13,6,11,South,False,False,False,False,South
186,4,0,8,2,9,0,8,2,11,7,10,East,False,False,False,False,East
185,4,0,10,1,7,0,8,2,9,8,10,East,False,False,False,False,South
384,4,0,10,0,5,0,10,1,7,8,9,South,False,False,False,False,South
382,4,0,7,0,4,0,8,0,4,8,7,South,False,False,False,False,South
380,4,0,8,0,4,0,6,0,4,9,6,East,False,False,False,False,East
379,4,0,10,0,2,0,8,0,4,10,6,East,False,False,False,False,East
378,4,0,11,0,4,0,10,0,2,11,6,East,False,False,False,False,South
376,4,0,9,0,3,0,11,0,3,10,5,West,False,False,False,False,South
375,4,0,9,0,2,0,9,0,3,10,4,South,False,False,False,False,West
574,4,0,7,0,0,0,9,0,2,9,4,West,False,False,False,False,South
573,4,0,7,0,0,0,7,0,0,9,3,South,False,True,False,False,North
572,4,0,7,0,0,0,7,0,0,9,4,North,False,False,False,False,West
571,4,0,7,0,0,0,7,0,0,8,4,West,False,False,False,False,West
570,4,0,7,0,0,0,7,0,0,7,4,West,False,False,False,False,West
569,4,0,7,0,0,0,7,0,0,6,4,West,False,False,False,False,North
568,4,0,7,0,0,0,7,0,0,6,5,North,False,False,False,False,North
567,4,0,5,0,0,0,7,0,0,6,6,North,False,False,False,False,West
566,4,0,5,0,0,0,5,0,0,5,6,West,False,False,False,False,North
0,4,0,11,9,5,0,0,0,0,12,10,Stop,False,False,False,False,Stop
-2,4,0,13,6,8,0,11,8,6,12,11,North,False,False,False,False,North
197,4,0,13,6,8,0,13,6,8,12,12,North,False,False,False,False,South
196,4,0,11,7,8,0,13,6,8,12,11,South,False,False,False,False,South
195,4,0,9,8,6,0,11,7,8,12,10,South,False,False,False,False,South
192,4,0,7,13,1,0,7,11,3,12,7,South,False,False,False,False,East
191,4,0,7,15,1,0,7,13,1,13,7,East,False,False,False,False,South
390,4,0,5,16,0,0,7,15,1,13,6,South,False,False,False,False,South
389,4,0,5,16,0,0,5,16,0,13,5,South,False,False,False,False,West
388,4,0,5,14,0,0,5,16,0,12,5,West,False,False,False,False,West
387,4,0,5,12,0,0,5,14,0,11,5,West,False,False,False,False,West
385,4,0,3,12,0,0,3,12,0,9,5,West,False,False,False,False,West
384,4,0,1,11,0,0,3,12,0,8,5,West,False,False,False,False,South
583,4,0,0,13,0,0,1,11,0,8,4,South,False,False,False,False,North
582,4,0,0,13,0,0,0,13,0,8,5,North,False,False,False,False,West
581,4,0,0,13,0,0,0,13,0,7,5,West,False,False,False,False,North
