@relation 'prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast-weka.filters.unsupervised.attribute.Remove-R22-43-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 4-I21-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 4-I21'

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
0.976038,True,False,False,False,0.238095,0,0,0,0.190476,0,0,0,0.12,0.208333,North,False,False,False,False,West,cluster9
0.974441,True,False,False,False,0.142857,0,0,0,0.238095,0,0,0,0.08,0.208333,West,True,False,False,False,North,cluster9
0.972843,True,False,False,False,0.142857,0,0,0,0.142857,0,0,0,0.08,0.25,North,False,False,False,False,North,cluster9
0.971246,True,False,False,False,0.142857,0,0,0,0.142857,0,0,0,0.08,0.291667,North,True,False,True,False,South,cluster9
0.969649,True,False,False,False,0.142857,0,0,0,0.142857,0,0,0,0.08,0.25,South,False,False,False,False,South,cluster9
0.968051,True,False,False,False,0.238095,0,0,0,0.142857,0,0,0,0.08,0.208333,South,True,False,False,False,North,cluster9
0.966454,True,False,False,False,0.071429,0,0,0,0.238095,0,0,0,0.08,0.25,North,False,False,False,False,West,cluster9
0.065495,True,True,True,True,0.214286,0.195652,0.022727,0.047619,0.261905,0.195652,0.090909,0,0.48,0.416667,North,False,False,False,False,North,cluster6
0.063898,True,True,True,True,0.285714,0.26087,0.181818,0,0.214286,0.195652,0.022727,0.047619,0.48,0.458333,North,False,False,False,True,East,cluster10
0.0623,True,True,True,True,0.380952,0.304348,0.159091,0,0.285714,0.26087,0.181818,0,0.52,0.458333,East,False,False,False,True,South,cluster10
0.060703,True,True,True,True,0.380952,0.282609,0.159091,0.095238,0.380952,0.304348,0.159091,0,0.52,0.416667,South,False,False,False,False,South,cluster7
0.057508,True,True,True,True,0.309524,0.304348,0,0.047619,0.285714,0.326087,0.045455,0,0.52,0.333333,South,False,False,False,False,South,cluster7
0.055911,True,True,True,True,0.261905,0.26087,0.159091,0.095238,0.309524,0.304348,0,0.047619,0.52,0.291667,South,False,False,False,False,East,cluster7
0.054313,True,True,True,True,0.285714,0.26087,0.068182,0.047619,0.261905,0.26087,0.159091,0.095238,0.56,0.291667,East,False,False,False,False,South,cluster3
0.052716,True,True,True,True,0.261905,0.413043,0.090909,0.02381,0.285714,0.26087,0.068182,0.047619,0.56,0.25,South,False,False,False,False,South,cluster7
0.051118,True,True,True,True,0.238095,0.326087,0.068182,0,0.261905,0.413043,0.090909,0.02381,0.56,0.208333,South,False,False,False,False,West,cluster7
