@relation prueba-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West}

@data
560,False,False,False,True,0,0,0,3,19,10,East,False,False,False,False,South
-7,True,True,True,True,2,8,14,16,7,9,East,False,False,False,False,South
352,False,False,True,True,0,0,13,2,17,15,North,False,False,True,False,North
539,False,False,True,False,0,0,5,0,18,11,South,False,False,False,False,East
539,False,False,True,False,0,0,21,0,24,15,West,False,False,False,False,West
381,True,False,False,True,2,0,0,18,8,5,South,False,False,False,False,West
542,False,False,True,False,0,0,11,0,24,16,North,False,False,False,True,West
-8,True,True,True,True,12,13,23,22,1,13,South,True,False,True,False,South
369,False,False,True,True,0,0,14,18,9,12,North,False,False,False,False,North
346,False,False,True,True,0,0,19,12,12,15,East,False,False,False,False,East
-20,True,True,True,True,2,2,10,26,8,6,East,False,False,False,False,South
536,False,False,True,False,0,0,10,0,20,10,East,False,True,False,False,East
174,False,True,True,True,0,7,5,21,12,7,East,False,False,False,False,North
-8,True,True,True,True,9,19,20,24,1,14,South,True,False,False,False,South
189,False,True,True,True,0,4,13,13,9,7,East,False,False,False,False,East
534,False,False,True,False,0,0,12,0,20,14,South,False,False,True,False,South
540,False,False,True,False,0,0,16,0,25,15,South,False,False,True,False,West
381,False,True,True,False,0,6,4,0,3,5,North,False,False,False,False,North
-12,True,True,True,True,7,11,13,30,1,7,South,True,False,True,False,South
542,False,False,True,False,0,0,11,0,24,16,North,False,False,False,True,West
-20,True,True,True,True,2,2,10,26,8,6,East,False,False,False,False,South
171,True,False,True,True,4,0,18,26,8,5,North,True,False,False,False,East
188,False,True,True,True,0,7,19,17,8,5,South,False,False,False,False,East
368,False,False,True,True,0,0,16,12,9,13,North,False,False,False,False,North
522,False,False,True,False,0,0,10,0,20,13,South,False,False,True,False,South
181,False,True,True,True,0,8,12,26,5,6,East,False,False,False,False,East
-18,True,True,True,True,5,9,18,26,3,6,North,False,False,False,False,North
-19,True,True,True,True,8,8,17,26,5,6,East,False,False,False,False,East
-8,True,True,True,True,2,8,12,15,7,8,South,False,False,False,False,East
574,False,False,True,False,0,0,10,0,18,7,North,False,False,False,False,North
